issuekey,created,title,description,storypoints
33319034,2020-04-15 12:38:48.664,Include Praefect usage in the usage ping,"GitLab features a [Usage Ping](https://docs.gitlab.com/ee/user/admin_area/settings/usage_statistics.html#usage-ping-core-only), which sends a simple JSON to GitLab servers for us to track certain data from customers. For example, it shows the version of Git installed for internal analysis which is used to determine when and if we can deprecate Git versions.

### Proposal

- [x] Extend the usage ping to send data regarding Praefect usage
- [x] Extend the version app that records the version ping, to accept this new parameter.",3
33293341,2020-04-15 01:06:05.551,Omnibus Praefect dashboard improvements from demo,"From the 2020-04-14 demo, we noticed the following potential improvements:

- The table containing the latest known elected primary should also include the instance name (e.g. IP or hostname).
- The replication queue size could be further broken down by Praefect instance and virtual storage.
- Need a panel for the replication delay metric (`gitaly_praefect_replication_delay`).
- Virtual storage flapping should use two labels (`{{instance}} {{gitaly_storage}}`)

From the 2020-04-17 demo, we noticed we should also include:

- A panel for the query `rate(grpc_server_handled_total{job=""praefect"",grpc_code!=""OK""}[5m])`
- A panel for the node up time: `gitaly_praefect_node_last_healthcheck_up`",2
33252162,2020-04-14 08:03:14.182,ReplicateRepository should create a bitmap when there's none,"ReplicateRepository is used in multiple cases, one of which is moving a repository across shards. In https://gitlab.com/gitlab-org/gitlab/commit/888ffdfa7f5dc3af5c1653d5064199027ac9be4a#dab876ea293e0f990ba0851665c089cfe2c7e0c5_92_99 @nick.thomas describes a good case where we should ensure that Gitaly writes bitmaps:

>>>
    Run housekeeping after moving a repository between shards
    
    The current inter-shard move is implemented as a `git fetch` from the
    original shard to an empty repository on the new shard. The repository
    on the new shard lacks bitmaps, and may be less well packed, than the
    repository on the old shard. This has a measurable performance impact.
    
    We may be changing from ""FetchInternalRemote"" to ""ReplicateRepository""
    in the future, but until then, forcing housekeeping to run is a good
    performance optimisation - we trade off some short-term I/O load on the
    new shard for better performance across a wide range of RPCs, including
    an order-of-magnitude improvement in `IsAncestor`, which is the find
    that motivated this change.
>>>

That change is behind a feature flag, part of closing this issue is removing the flag, and making sure we're using the ReplicateRepository RPC.",3
33235781,2020-04-14 00:20:22.486,Horizontal scaling of a single shard MVC,"## Problem to solve

When hundreds of developers are working on a mono repo (perhaps 5GB), it is possible to saturate a single server with reads and writes. CI servers add to this load. There is no way to horizontally scale reads without NFS today.

## Further details

The current workaround for this is:

- install a load balancer between GitLab and a Gitaly storage
- the load balancer should distribute reads and writes across all many Gitaly nodes
- Gitaly nodes are kept in sync by a shared NFS volume that is mounted to each Gitaly nodes

This relies on NFS to keep all nodes completely consistent.

## Proposal

When using Praefect for Gitaly HA, each repository is replicated some number of times. Only the primary node services reads.

Using the Praefect tracking database:

- randomly distributes reads to any node where the replication queue is empty for that repository.

![praefect-distribute-reads](/uploads/da214c773640e33de80060b63c364d3e/praefect-distribute-reads.png)

## Links / references",5
33100397,2020-04-09 13:39:06.670,Smarter Praefect election process,"## Problem to solve

Right now our primary election process in Praefect treats all Gitaly nodes that are up as possible candidates for election. However, what happens if a secondary fails replication or becomes out of sync? We need to consider marking the Gitaly node as ""unelectable"" and taking it out of the rotation. 

## Further Details

We probably need to consider a number of inputs:

1. Are there any jobs left in the replication queue? If there is a node that is up that has an empty queue, we'd prefer that one over another one.
1. Failure rates of the replication queue: If a node is unable to sync with the current primary for a number of repositories, that is indicative that something went out of sync, and we may need to do a repair.

Ideas for consideration:

1. During the election process, sort nodes by descending number of outstanding jobs.
1. Track a metric of the `FetchInternalRemote` and/or `ReplicateRepository` RPCs in Praefect

## Proposal

When promoting a secondary to a new primary, use the Gitaly node with least pending replication jobs.

## Links / references",4
33025854,2020-04-08 08:11:56.928,2PC via pre-receive hook,"As a result of the experiments in #2466 and #2529, we have concluded that the most promising way to implement strong consistency for reference updates is by going via Git hooks: given a reference update, a hook will execute on each Gitaly node that reports back to Praefect. Praefect will collect these reports from all Gitaly nodes that take part in the current update and, if all nodes post the same update, send them a message to go ahead.

While the mid-term goal is to hook directly into the reference transaction handling code in order to handle all kinds of reference updates and not only those invoked via git-receive-pack(1), this requires a new set of hooks on Git's side. We thus decided to implement a first POC of this mechanism by using the Git pre-receive hook, which executes after all reference updates have been announced by the Git client. This should give us a better picture of how the mechanism will work in the end.

The following diagram depicts the 3PC via a pre-receive hook:

```mermaid
sequenceDiagram
  Praefect->>+Gitaly: ReceivePack
  Gitaly->>+Git: git receive-pack
  Git->>+Hook: update HEAD master
  Hook->>+Gitaly: TX: update HEAD master
  Gitaly->>+Praefect: TX: update HEAD master
  Praefect->>+Praefect: TX: collect votes
  Praefect->>+Gitaly: TX: commit
  Gitaly->>+Hook: TX: commit
  Hook->>+Git: exit 0
  Git->>+Gitaly: exit 0
  Gitaly->>+Praefect: success
```

The 2PC voting protocol will start as soon as a first ""TX"" message is received on the Praefect node. Each of the pre-receive hooks will block until it receives a message from Praefect telling to to either go on with the update or to abort. In case the vote was successful, the hook will exit with `0` to indicate success, otherwise it will return an error code and thus abort the reference update.

The main goal of this issue is to establish a communication channel between hook and Praefect to allow for transaction handling. The communication channel should be implemented transparent to Gitaly nodes as much as possible so that Gitaly does not need to know if and how many transactions a given Git transaction is going to start. This ensures we can swap out the hooks in the future and start multiple transactions for a single Git command.",7
33016702,2020-04-08 00:35:00.797,Remove primary in praefect config once SQL election is merged and the default,"SQL leader election has now been merged https://gitlab.com/gitlab-org/gitaly/-/issues/2547, meaning we no longer need the idea of a ""default"" primary in the config.

We should remove this in:

- [x] Praefect example config toml in gitaly
- [x] GDK
- [ ] Omnibus
- [x] Gitaly Cluster admin docs",2
32979230,2020-04-07 09:24:40.375,Option for failover to put out-of-date repositories in read-only mode,"## Problem to solve

Praefect has a failover mechanism, where if it detects that a Gitaly node is unresponsive, it will promote a secondary storage server to primary. If this secondary server could be missing data still from the old primary. This in itself would allow Gitaly to serve stale data. However, after serveral mutations on the repository, it could end up in a state where data-loss occurs. As such, the current implementation is great for demo's, or instances where velocity is more important than data integrity. The current approach will not work for gitlab.com

## Solution

In <issue link> we're working on reporting of potential data loss, this issue proposes the next iteration of it; putting each of those repositories in a read only state, until manual intervention from an admin to mark it operational again. Allowing all administrators to use the current failover mechanism, and resolve data integrety issues manually.  


### Additional benefits

When moving a repository on a shard, it's put in read only mode for a brief period of time. This is a loosely defined contract right now. Having a praefect managed read only mode for repositories put stronger data integrity.

This approach could remove the need for https://gitlab.com/gitlab-org/gitaly/-/issues/2601",5
32967456,2020-04-07 03:51:13.467,Stale packed-refs.new files prevents branches from being deleted,"We saw in https://gitlab.com/gitlab-org/gitlab/-/issues/213620#note_318864514, that somehow the `gitlab-org/gitlab` repository had a stale/aborted `packed-refs.new` file that prevented branches from being deleted inside the `MergeRequestWorker`, causing that worker to retry 4 times unnecessarily:

```
root@file-cny-01-stor-gprd.c.gitlab-production.internal:/var/log/gitlab/gitlab-rails# sudo ls -al /var/opt/gitlab/git-data/repositories/@hashed/a6/80/a68072e80f075e89bc74a300101a9e71e8363bdb542182580162553462480a52.git
total 34168
drwxr-s---   7 git root     4096 Apr  7 02:50 .
drwxr-s---   5 git root     4096 Dec 12 09:21 ..
-rw-r--r--   1 git root      409 Apr  7 00:05 config
-rw-r--r--   1 git root       73 Dec 12 09:17 description
-rw-r--r--   1 git root   156636 Apr  7 02:54 FETCH_HEAD
drwxr-sr-x   2 git root     4096 Apr  7 00:05 gitlab-worktree
-rw-r--r--   1 git root       23 Feb  5 07:35 HEAD
drwxr-sr-x   2 git root     4096 Dec 12 09:17 hooks
drwxr-sr-x   2 git root     4096 Apr  7 02:54 info
-rw-r--r--   1 git root   301751 Apr  7 02:13 language-stats.cache
drwxr-sr-x 260 git root     4096 Apr  7 02:56 objects
-rw-r--r--   1 git root 30427806 Apr  6 11:07 packed-refs
-rw-r--r--   1 git root  4055040 Apr  6 11:08 packed-refs.new
drwxr-sr-x  11 git root     4096 Dec 12 09:21 refs
root@file-cny-01-stor-gprd.c.gitlab-production.internal:/var/log/gitlab/gitlab-rails# date
Tue Apr  7 02:56:39 UTC 2020
```

Attached are the files:

[packed-refs.tar.gz](/uploads/d12f6d32ef38a805943bff296b25a722/packed-refs.tar.gz)

It almost looks like the writes to `packed-refs.new` got aborted at 11:08:

![image](/uploads/4e1d6697a1c911a5e0963dab6ed7a7b4/image.png)

Few questions/issues:

1. What left this `packed-refs.new` around? I presume it was a `git pack-refs`. I see a `PackRefs` RPC that completed successfully at 11:05: https://log.gprd.gitlab.net/goto/b30757c2d0feb12c7ea3dd7590d93760 
1. Should we run `Cleanup()` on stale `packed-refs.new` files?
1. https://gitlab.com/gitlab-org/gitlab/-/issues/213620: `MergeRequestWorker` should be idempotent here: why did the deletion of the branch cause duplicate merge commits? 
1. These error messages only went to `githost.log`: https://gitlab.com/gitlab-org/gitaly/blob/981ff509c05475c65480f11c92101f0a4d5f5158/ruby/lib/gitlab/git/operation_service.rb#L209. Can we just port this RPC to Go and use structured logging here?",2
32951949,2020-04-06 16:34:21.400,Documentation: two sources of truth for GL_REPOSITORY,"When receiving a git push, Gitaly will make HTTP callbacks to gitlab-rails. This is done via the Git `pre-receive` and `post-receive` hooks.

In these callbacks, Gitaly must tell gitlab-rails what repo the hooks are running in. We use an opaque token called GL_REPOSITORY for this. This token comes in as an RPC request field, and gets handed down into the Git hook via an environment variable on the `git receive-pack` process.

There are three groups of RPC's where we need GL_REPOSITORY to make callback requests:

- SSHService.SSHReceivePack (git push via SSH)
- SmartHTTPService.PostReceivePack (git push via HTTP)
- OperationsService.UserCommitfiles, OperationsService.UserMergeBranch, etc. (RPC's that modify a repo on while impersonating a user)

In the case of OperationsService, we always pass GL_REPOSITORY [via the Repository protobuf message](https://gitlab.com/gitlab-org/gitaly/-/blob/dca26f3a6d09e3cea5d05373bd2c35ddc03c05c8/proto/shared.proto#L42).

In the case of SSHReceivePack and PostReceivePack, however, we have a confusing situation. These RPC's were implemented before we had a GL_REPOSITORY field on the Repository message. What we do there instead is that we explicitly pass in the value via the request message ([example 1](https://gitlab.com/gitlab-org/gitaly/-/blob/master/proto/smarthttp.proto#L82)) and [example 2](https://gitlab.com/gitlab-org/gitaly/-/blob/master/proto/ssh.proto#L66)).

The purpose of this issue is to discuss if this is a problem or not, and if so, what we want to do about it.",2
