,issuekey,storypoints,context
0,91166904,3,send assistment session datum assistment session close when session student refer assistments end send datum match contract attach issue assistments worker job circuit breaker exponential backoff retry minute retry code circuit breaker fail log send alert slack code log alert slack reach assistments team log session d try resend later add assistmentsdata doc success failure default value know send boolean sentat timestamp reference file tasks x code review x stage smoke test x merge main x deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x at session end assistment session queue job
1,90938976,1,volunteer emails check user ban deactivate we send inactive email volunteer user deactivate ban check deactivate volunteer email specific example volunteer d receive inactive email ideally audit volunteer email add deactivate check maybe create snippet aggregation volunteer receive email ignore deactivate fake test etc tasks x code review x stage smoke test x merge main deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session
2,90934248,2,validate api key auth work socket worker in successfully get socket connection auth turn we authenticate cookie strategy right use special package auth want strip use passport regularly task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session
3,90863481,3,frontend new endpoint determine category selection view on student dashboard mount check if add network service new endpoint recent subject use response decide recent subject selection otherwise recent subject selection notes wrap recent subject card header v wrapper place caller src service userservice wrap network error handling getvolunteeravailability task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session student prior session dashboard show normal category selection student recent session recent subject selection addition normal category selection session subject show tile session distinct subject tile recency order session distinct subject tile recency order past session subject tile
4,90863300,1,backend endpoint serve recent subject requirements endpoint subject update swagger yaml endpoint signature input student user d output array string length status code generic input error d provide d exist point volunteer instead student task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session endpoint return value expect
5,90863177,2,backend server function determine recent subject function give student return list recent session subject subject unique care session subject match order list recency session subject unique subject find session history return list size return list string note lookup session object past session array upfront minimize network call task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session
6,90647807,1,frontend create recent subject card component create new recent subject component create different state component disabled hover initial press write test storybook task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session
7,90638377,1,backend prevent ban student start session add check server service startsession check ban student student ban throw startsessionerror message update test allow ban user start session task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session
8,90637234,2,frontend reduce student dashboard hero image height reduce hero image height student dashboard validate design grace task code review stage smoke test merge main deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session volunteer dashboard hero image shorten x test multiple device window size
9,90636993,0,add student policy document storage bucket get student policy document program drop document bucket task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session
10,90636842,3,frontend add student ban state show new banner ban student for why i see new tab document store issue change student status paused disable subject card hide how help text hero image ban student tasks x code review x stage smoke test x merge main x deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x ban student paused status sidebar x ban student banner dashboard say your account review x ban student subject disable
11,90636521,1,frontend change session state change banner color match design student session task code review stage smoke test merge main deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session student update banner color session
12,90574469,1,backfill sessionid notification add sessionid property notification model add index avoid have aggregation lookup search notification associate particular session use notification array session object write sessionid task code review stage smoke test merge main run script
13,90574257,0,refactor notification include sessionid add sessionid property notification model add index avoid have aggregation lookup search notification associate particular session backfill script task code review stage smoke test merge main deploy prod add db index smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session
14,90513200,2,validate can send socket event job can open socket connection app server like end client how test staging task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session
15,90511984,3,create sessionservice function check volunteer deck an deck volunteer session certify session subject simple check array session time check check getactivesessionvolunteer nin list set availability current hour check getcurrentavailabilitypath receive notification session object array notification send nin volunteer id extract pende refactor save sessionid right notification object index avoid lookup step receive any notification check inverse tests lot complexity decision point need lot test seed datum task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session
16,90509181,0,visual indication chat bot message pull old chatbot component receive chatbot message socket like user message make chatbot message appear custom green color currently appear need update admin session review view message correctly component admin chatlog update student volunteer icon task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session chatbot message appear persist correct color
17,90412273,1,fix url format subject make url format hyphen shove word readingwrite reading writing the prevent change format like camelcase magic string
18,90287125,3,write function generate datum partner analytic report write unit test function generate data structure correct column match spec parent epic should row object header should row match datum do main sheet summary task code review stage smoke test merge main deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session
19,90286583,1,frontend update admin access new partner analytic report remove current frontend logic generate corporate partner analytic report excel file download request finish task x code review x stage smoke test x merge main deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session
20,90286573,3,format analytic csv create partner analytic report spreadsheet format update partner analytic report function create spreadsheet match spec parent epic datum function write download update router api match contract define header link append response tasks x code review x stage smoke test x merge main deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x generate report call api prod sure sheet get create correctly correct permission
21,90286568,1,add partner analytic report endpoint doc swagger this endpoint currently document we add documentation match return new implementation send link create google sheet csv request send partner date response send link create code server error unauthorized admin datum find
22,90286485,2,write script use exceljs npm package create sheet format datum this proof concept api validate know use package basic spreadsheet can create sheet apply format put datum correctly tasks x create poc script x review engineering staff
23,90212284,2,new job send special inactivity email job run look user inactive day send special email it deselect user availability hour require email template id business team tasks x code review x stage smoke test x merge main x deploy prod x run addcronjob script job add smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x test match scenario inactivity email feature file
24,90212248,1,use utc inactivity calculation refactor lastactivityat middleware volunteeremailinactive job use utc timezone instead server time zone tasks x code review x stage smoke test x merge main x deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x lastactivityat get properly record
25,90211875,2,update inactivity email job send blackout period in emailvolunteerinactive check beginning job blackout period send email tasks x code review x stage smoke test x merge main x deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x testing accord scenario inactivity email feature file
26,90213232,1,write gherkin scenario volunteer inactivity email setup gherkin jest subway create subdirectory step definition include setupfile jest config create subdirectory feature file add documentation use gherkin jest vs regular jest subway gherkin scenario subway vs whoop whoop translate example scenario inactivity email feature file
27,89043611,1,remove previously ban ip ban logic currently session begin check student ip previously ban ban moment we want remove logic leave rest ip ban infrastructure intact remove recordipaddress middleware new session router tasks x code review x stage smoke test x merge main x deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x student international ip session volunteer join
28,89041453,1,add guideline report student upchieve volunteer read new reporting guide order complete worst case scenarios module x convert pdf replace upc training material bucket x convert pdf add upc training material bucket x the new document label guideline report student book icon x the ordering worst case scenarios module task exist video new reporting guide exist deck add util training resourceid pdf bucket suffix material key random distinct character alphanumeric tasks x upload resource x code review x stage smoke test x merge main x deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x volunteer new reporting guide upchieve
29,89040981,0,convert report guide pdf upc training material bucket
30,88954967,0,final debug deployment wait time heat map tasks x code review x stage smoke test x merge main x deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x volunteer able update availability x certify volunteer receive text message new session start availability time x volunteer clock icon period high wait time
31,88692015,5,refactor backend match new session report requirement acceptance criteria volunteer choice report session choice this student extremely rude inappropriate auto ban student account choice i worried immediate safety student auto ban student account implementation note refactor backend respect ban requirement refactor backend send new ban notification email student correct time reportsession check session end send email session end save similar key cache cache repo use savewithexpiration endsession function check cache existence key exist send email reportsession endsession notification bcc support refactor swagger accurate value send pre req email template ids program tasks x code review x stage smoke test x merge main x deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x student user report reason session end correct email arrive mailtrap hubspot asap x student report reason session correct email arrive mailtrap hubspot after session end
32,88691856,2,create job process session report email acceptance criteria write job process session report email refactor reportsession endsession queue email instead directly send task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session report test student volunteer email come mailtrap hubspot
33,88690352,1,refactor report pop match new requirement acceptance criteria volunteer choice report session choice this student extremely rude inappropriate auto ban student account choice i worried immediate safety student auto ban student account volunteer reach reporting guide reporting popup implementation note refactor frontend modal component backend use data structure text value pre req reporting guide programs email template ids programs final mockup tasks x code review x stage smoke test x update line x merge main x deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x reporting pop accurate spec
34,88689261,5,refactor frontend new international ip handling acceptance criteria make check new backend ip location endpoint page load stage open student sign partner redirect new international sign denial page partner page partner backend api route open page open backend api route if backend sign api endpoint return international ip error redirect new denial page task code review stage smoke test merge main deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x use vpn international ip try visit sign page x then turn vpn try visit sign page x partner sign work
35,88689242,2,refactor backend student signup api endpoint handle new international ip flow acceptance criteria check ip location return new error international student come partner remove current ip ban code path code tasks x code review x stage smoke test x merge main deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session
36,88689099,2,make international student sign denial page mockup task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session
37,88340714,2,refactor api contract student registration student registration call document swagger in separate file main readability main purpose refactor determine contract us non us ip signup exist student sign endpoint need ip location check request new potential return value error say request honor international ip new endpoint frontend able ip location check separately request tasks x code review x merge main
38,88340042,2,server split student registration route partner open on partner student registration api call regular flow exist backend on open student registration api call check header source ip perform if non ip send error code backend custom error type nonusstudent similar wrap student registration call feature flag ip ban overhaul tasks x code review x stage smoke test x merge main x deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x student sign end work like test open partner student sign x new partner route work us international ip x new open route work us ip x new open route international ip
39,88339037,3,component radio button design task provide mockup prototype component desire state unselecte select space multiple radio selection space radio text disabled horizontal list vertical list
40,88229543,2,add new option post session survey volunteer new option post session survey the student rude inappropriate the student look answer obstacle section they add end list mess current integer obstacle key value association string value checkboxe need add feedbackview feedbackpreview on backend add const enum map string value integer value validate future enum share frontend backend import enum const feedback schema need bump tasks x code review x stage smoke test x merge main x deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x make sure new feedback option store correctly db
41,88174609,2,update zwibbler source string config to test change local config point cdn location new file look minified zwibbler package find websocket connection variable update src view sessionview use new package put change feature flag to test staging change value doppler to update production change value doppler task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session student volunteer use whiteboard tool mobile student volunteer use whiteboard tool
42,87916210,3,app exit database available at moment database available connection fail stay fail app crash the occur worker in connection instantiate web worker process connection try await catch return catch we need catch error exit db available the result connection provide handler similarly log error exit process kind exponential like try reconnect finally exit backoff retrie long second tasks x code review x stage smoke test x merge main x deploy prod smoke test x start app mongo run retry second exit x start app kill mongo process app retrie second exit x in staging start app kubernete ip block stage mongo database app retrie second exit container stop kubernete start new x in staging start app mongo access remove kubernete ip allowlist app retrie second exit container stop kubernete start new x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session
43,87769948,2,audit current need drop dave add autodevops job prove valuable take inordinately long we decide want drop want modify meet need generate list job want customize document want customize remove unnecessary job document job
44,87767970,2,remove hourstutored reference backend hourstutore reference session service test userservice parseuser endsession buildvolunteer generator these reference remove long hourstutore task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session
45,87767961,1,update volunteer dashboard impact summary use timetutore refactor src view dashboardview volunteerdashboard getimpactstats use timetutore instead hour convert ms hour task code review stage smoke test merge main deploy prod smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session dashboard show accurate datum impact summary change
46,87629634,1,add assistment regular student partner manifest use regular partner signup flow requirepartnersite showhighschoolcheckbox showcollegecheckbox showhighschoolselector set false
47,87628532,5,capture assistments query param log student vertical slice make sure work be log assistments student visit site url contain query parameter receive land dashboard refresh start session new assistment document create correct datum tasks x code review x stage smoke test x merge main x deploy prod smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x assistment link new student flow work confirm compass x assistment exist log student flow work confirm compass x assistment exist log student flow work confirm compass x bad assistment link create datum object log error create session object
48,87628499,0,test datum assistments student in local dev seed datum support local development student user assistment set partner org mock assistment id need ask assistments format id
49,87628408,1,create assistment datum document collection store assistment information this document need hold problemid assignmentid sessionid reference session this great chance start repo design style new model method probably need expose create getall mainly testing specific analytic read write later write integration retrieve datum assistments need ask assistment format id validate field task code review merge main
50,87627298,5,ux design well invalid input sign we go try work well ux invalid input assistment sign log form need wireframe prototype figma where error global field example color shape placement behavior fast error feedback
51,87464381,0,look hackerone account remove prod db hackerone researcher email address create account able search remove bogus one can look special character
52,87225566,1,college track sign link work redirect regular sign page x code review x deploy staging test x deploy production
53,87129980,1,whiteboard line drawing tool multiple issue when select line draw tool active cursor change click revert select line draw tool work expect then i draw line line draw tool tool select when i use clicking currently select tool revert pencil i draw line anymore the line draw tool effectively work try sometimes line draw tool sensitive choice color sometimes draw line insensitive undo redo if i use pencil draw line use pencil press revert twice pencil drawing disappear line ticket create slack message dave sudia bug reporting
54,86812005,1,write sessionservice function generate save heatmap datum cache retrieve cache write actual function generate heatmap data structure accord api contract spec go session week compute wait time average hour save hour should include unmatched session ignore session match unmatched last minute to calculate wait time volunteerjoinedat createdat session match endedat createdat session match tasks x code review x stage smoke test x merge main deploy prod prod smoke test smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session
55,86811533,0,rip metric router delete metric router associate code
56,86811338,1,refactor sessionservice refactor session service clean code follow new repo svc router architecture will involve touch file import session service task code review stage smoke test merge main deploy prod prod smoke test smoke test student volunteer login student volunteer join session student volunteer use whiteboard chat session
57,86803566,2,resolve miss seconday text tasks x stage smoke test x code review x merge main x deploy prod x prod smoke test smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x secondary text actually get send x locally worker log test stage
58,86802633,2,search specific school admin page show school instead search school admin school search input box actually change search result program team need able search school able conduct work investigation src view admin task code review x stage smoke test merge main deploy prod prod smoke test smoke test x student volunteer login x student volunteer join session x student volunteer use whiteboard chat session x admin school search work
59,86552122,0,misspell word academic integrity policy there misspelled word academic integrity policy here update version tasks x download update policy pdf x upload update policy set current version new uploaded policy
